,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.09469,.077035,.06703,.05837,.050845,.04441,.038965,.03441,.0307,.02768,.02526,.023385,.0219,.020725,.01984,.01901,.01828,.017405,.01643,.01521,.013655,.0116,.009055,.005865
