,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.18,.132,.108,.088,.071,.061,.054,.0482,.0424,.0384,.0344,.0306,.0276,.0248,.0228,.0208,.0188,.0168,.015,.0132,.0122,.0112,.0102,.0092,.0082,.0072,.0062,.0052,.005,.005,0
