,14,15,1
30,.066429,.0676381,.1484497
1,.0692305,.0704397,.1512512
1,.0737131,.0749222,.1678251
1,.0798765,.0810857,.1739886
1,.0859086,.0871178,.1911228
1,.0870293,.0882384,.1922434
1,.100434,.1028522,.2034497
1,.109399,.1130264,.213404
1,.1115089,.1163455,.226616
1,.1181014,.1253562,.2332084
1,.1315946,.1852134,.2311606
1,.158364,.2095646,.2546324
1,.2163854,.2651677,.3344183
1,.1581014,.2165567,.269429
1,.1893076,.2429265,.2918415
1,.3040471,.3528294,.3963583
1,.1972891,.2509079,.3036702
1,.1972891,.2509079,.2987238
1,.1972891,.2509079,.4438201
1,.1972891,.2509079,.4448094
1,.2421142,.295733,.4926024
1,.2701299,.3237487,.5206181
1,.2701299,.3237487,.5206181
1,.2701299,.3237487,.5206181
1,.2701299,.3237487,.5206181
1,1,1,1
