,1
23,0
1,0
1,31703
1,80462
1,75204
1,373603
1,824567
1,616716
1,1467250
1,2784635
1,3449716
1,5611016
1,7176557
1,10608354
1,18104431
1,20888628
1,26790029
1,27907402
1,31182410
1,39350174
1,43972352
1,54626014
1,62402679
1,70683072
1,67614246
1,56434252
1,56863985
1,61743814
1,62569515
1,54839070
1,48067042
1,46351460
1,46396477
1,42442636
1,40451925
1,38944312
1,37338619
1,35511446
1,34904740
1,30669399
1,28079428
1,26554764
1,24234019
1,22357492
1,19919039
1,15370383
1,14310564
1,12194489
1,9413313
1,8370338
1,5299315
1,3614562
1,3231919
1,2222576
1,1175496
1,976996
1,684297
1,424496
1,262403
1,194535
1,83637
1,14877
1,48281
1,42925
1,20053
1,0
1,0
1,5649
1,0
