,1
1,50126
1,50126
1,168276
1,95761
2,135092
1,26651
1,49459
1,127645
1,229316
1,256700
1,128599
1,377462
1,401239
1,671348
1,665921
1,435667
1,672760
1,1097948
1,1124566
1,1440659
1,1864004
1,2394241
1,2104808
1,2893483
1,2895682
1,3303194
1,3195534
1,3696599
1,2670114
1,3126344
1,3655849
1,3460717
1,5134239
1,3844321
1,2972013
1,2722914
1,2740120
1,3339363
1,2230106
1,2369014
1,2228997
1,1650744
1,1497173
1,1244362
1,1411138
1,1280776
1,692872
1,199708
1,1236995
1,1039167
1,1035375
1,890942
1,964535
1,651087
1,280699
1,201513
1,259583
1,203853
1,204853
1,86618
1,63852
2,36811
