,5,5,5,5,5,5,""
5,390,0,0,0,0,0," "
5,2298,1012,0,0,0,0," "
5,2056,3022,781,0,0,0," "
5,1332,2405,2708,604,0,0," "
5,972,1804,2242,2630,424,0," "
5,663,1153,1440,2074,1814,965," "
5,319,721,883,1290,1035,795," "
5,177,335,449,632,434,321," "
5,53,113,178,257,144,116," "
5,16,24,51,59,24,35," "
