,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.05,.0425,.03875,.0375,.0325,.02875,.0275,.025,.02375,.0225,.02125,.015,.01375,.01,.01,.01,.01,.01,.01,0,0,0,0,0,0
