,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.065,0.0575,0.055,0.0525,0.05,0.05,0.0475,0.045,0.045,0.045,0.045,0.045,0.045,0.04,0.04,0.04,0.04,0.04,0.035
