,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.06,0.055,0.05,0.0475,0.045,0.0425,0.04,0.04,0.0375,0.0375,0.0375,0.0375,0.0375,0.035,0.035,0.035,0.035,0.035,0.035,0.035
