,1
10,0
1,18420
1,26100
1,25554
1,21361.5
1,24384
1,24310.66667
1,30410.57143
1,26904.8
1,26082.75
1,27696.96
1,27806.05714
1,30065.66667
1,30544.94118
1,32466.51429
1,29134.82353
1,31197.42857
1,34512.39344
1,34271.09091
1,32934.54545
1,33237.71429
1,31708.70769
1,34713.14286
1,33074.44068
1,33225.17241
1,34837.18519
1,25554.08955
1,27256.88684
1,29659.41088
1,33206.26335
1,37249.0884
1,41100.85343
1,46483.80678
1,49107.8204
1,50163.68757
1,49409.95311
1,48457.51661
1,47708.55705
1,47307.22605
1,46698.22245
1,45789.42808
1,44262.13211
1,41905.53398
1,39421.19844
1,38888.97452
1,37407.65225
1,36241.45123
1,35061.93557
1,34332.73156
1,33833.5502
1,32619.71119
1,31360.5461
1,29663.75486
1,28836.60795
1,27806.80773
1,26747.08072
1,25213.5394
1,23410.66205
1,22086.81396
1,21707.38222
1,20576.39312
1,18661.2344
1,18244.62893
1,16470.95789
1,17014.53147
1,16004.20231
1,16612.1487
1,15184.61972
1,14243.77011
1,12429.89362
1,11997.08333
1,12084.36735
1,11049.3
1,13187.68421
1,12341.28
1,11142
1,9652
1,10836
1,0
1,0
1,0
1,0
1,0
1,3564
