,1
1,0.0002
1,0.0002
1,0.0002
1,0.0002
1,0.0002
1,0.0002
1,0.0003
1,0.0003
1,0.0003
1,0.0003
1,0.0003
1,0.0003
1,0.0004
1,0.0004
1,0.0005
1,0.0005
1,0.0006
1,0.0007
1,0.0008
1,0.0009
1,0.0010
1,0.0011
1,0.0013
1,0.0016
1,0.0018
1,0.0021
1,0.0025
1,0.0029
1,0.0035
1,0.0041
1,0.0048
1,0.0049
1,0.0050
1,0.0051
1,0.0050
1,0.0050
1,0.0050
1,0.0050
1,0.0052
1,0.0054
1,0.005593
1,0.0057755
1,0.0059515
1,0.0061975
1,0.006522
1,0.0069645
1,0.007551
1,0.00829
1,0.0091345
1,0.010176
1,0.011334
1,0.0126445
1,0.0141135
1,0.015688
1,0.017464
1,0.0193935
1,0.021519
1,0.0239765
1,0.026757
1,0.029926
1,0.0335065
1,0.0376465
1,0.042399
1,0.0477145
1,0.0535995
1,0.060197
1,0.067604
1,0.0767205
1,0.087079
1,0.0987205
1,0.1127615
1,0.128238
1,0.1449725
1,0.162887
1,0.1820975
1,0.2026875
1,0.2244825
1,0.247148
1,0.264959
1,0.2879605
1,0.3115055
1,0.3468935
1,0.383773
1,0.4414
1,0.506476
1,0.571883
1,0.6329575
1,0.700566
1,0.7754155
1,0.8582705
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
