,5,5,5,5,5,5,
5,1308,0,0,0,0,0, 
5,6494,1295,0,0,0,0, 
5,6877,4228,1461,0,0,0, 
5,5392,4571,4251,666,0,0, 
5,4770,4810,6029,2145,1141,0, 
5,4303,4209,6099,2797,3761,1393, 
5,4031,3856,6203,3023,4579,5583, 
5,3185,3347,4955,2540,3748,6572, 
5,1869,2186,2911,1575,2145,3356, 
5,909,988,1353,640,692,1138, 
