,5,5,5,5,5,5,
5,3,0,0,0,0,0, 
5,28,2,0,0,0,0, 
5,36,13,78,0,0,0, 
5,36,39,340,116,0,0, 
5,42,61,449,408,147,0, 
5,35,51,462,439,375,59, 
5,46,48,395,388,345,255, 
5,23,44,296,298,265,305, 
5,14,28,158,170,160,191, 
5,15,26,86,68,54,51, 
