,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.105,0.081,0.069,0.062,0.057,0.053,0.05,0.047,0.045,0.044,0.042,0.041,0.04,0.038,0.037,0.036,0.035
