,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.15,0.15,0.12,0.09,0.08,0.07,0.065,0.0525,0.05,0.0475,0.0425,0.04,0.04,0.036,0.033,0.03,0.028,0.025,0.023,0.021,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.01,0.009
