,24,5,5
18,0,0,0
1,0.05,0,0
1,0.04,0,0
1,0.04,0,0
1,0.025,0,0
1,0.025,0,0
1,0.025,0,0
1,0.025,0,0
1,0.025,0.02,0
1,0.025,0.02,0
1,0.025,0.02,0
1,0.03,0.02,0.7
1,0.03,0.02,0.6
1,0.03,0.05,0.3
1,0.03,0.17,0.6
1,0.03,0.28,0.6
1,0.1,0.28,0.5
1,0.15,0.45,0.4
1,0.15,0.75,0.3
1,0.15,0.33,0.2
1,0.15,0.25,0.2
1,0.25,0.25,0.2
1,0.25,0.3,0.2
1,0.25,0.3,0.2
1,0.15,0.3,0.2
1,0.15,0.22,0.25
1,0.15,0.17,0.15
1,0.2,0.2,0.3
1,0.2,0.2,0.3
1,0.2,0.2,0.3
1,0.2,0.2,0.2
1,0.2,0.3,0.3
1,0.2,0.3,0.3
1,0.2,0.3,0.4
1,0.2,0.3,0.2
1,0.2,0.3,0.25
1,0.2,0.3,0.25
1,0.2,0.3,0.25
