,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0575,0.0575,0.0575,0.0575,0.05,0.05,0.05,0.05,0.05,0.0475,0.0475,0.0475,0.0475,0.0475,0.045,0.045,0.045,0.045,0.045,0.04,0.04,0.04,0.04,0.04,0.0375,0.0375,0.0375,0.0375,0.0375,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425
