,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.2415,0.1415,0.1165,0.0915,0.0665,0.0665,0.0495,0.0465,0.0445,0.0445,0.0435,0.0435,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0415,0.0415,0.0415,0.0415,0.0415
