,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.14775,0.1145,0.1,0.0855,0.0755,0.0655,0.0564,0.0482,0.04375,0.0412,0.03865,0.0361,0.0341,0.0321,0.0301,0.0281,0.0261,0.0241,0.0221,0.0201,0.0181,0.0161,0.0141,0.01265,0.0112,0.00975,0.00875,0.00775,0.005,0.005,0
