,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0575,0.045,0.035,0.03,0.025,0.0225,0.02,0.0175,0.0125,0.01,0.0095,0.009,0.0085,0.008,0.0075,0.007,0.0065,0.006,0.0055,0.005
