,24,5,5,5
32,0,5,0,0
1,0,0,0.2,0.2
1,0,0,0.2,0.2
1,0,0,0.2,0.2
1,0,0.092,0.2,0.2
1,0,0.092,0.2,0.2
1,0,0.092,0.2,0.2
1,0,0.092,0.2,0.2
1,0,0.1,0.24,0.24
1,0.05,0.18,0.28,0.29
1,0.06,0.184,0.28,0.29
1,0.07,0.188,0.28,0.29
1,0.08,0.192,0.304,0.33
1,0.116,0.28,0.304,0.33
1,0.24,0.56,0.304,0.33
1,0.2,0.28,0.304,0.33
1,0.19,0.2,0.304,0.33
1,0.19,0.2,0.304,0.32
1,0.19,0.2,0.304,0.32
1,0.19,0.2,0.304,0.28
1,0.19,0.2,0.304,0.28
1,0.19,0.2,0.304,0.28
1,0.19,0.2,0.304,0.28
1,0.19,0.2,0.304,0.28
1,1,1,1,1
