ppd_id,fy,EEGroupID,TierID,source_membership,notes_membership,beneficiaries_DisabilityRetirees,beneficiaries_DependentSurvivors,actives_tot,ActiveSalaries,ActiveAge_avg,ActiveTenure_avg,ActiveSalary_avg,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,benefits_tot,BeneficiaryAge_avg,BeneficiaryBenefit_avg,beneficiaries_ServiceRetirees,benefits_ServiceRetirees,ServiceRetireeAge_avg,ServiceRetireeBenefit_avg,ServiceRetAge_avg,ServiceRetTenure_avg,ServiceRetBenefit_avg,benefits_DisabilityRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,ActiveSalary_avg_est,BeneficiaryBenefit_avg_est
163,2013,0,0,,,202,,3283,137789.52,43.25,9.0200005,41.971001,24,,3428,82084,,23.858,2924,,,,,,,3092.343,0,,302,302,,6735,0,0
163,2014,0,0,,,204,,3181,135556.89,43.5,8.8999996,42.615002,22,,3513,,,15.529,2338,,,,,,,3157.9199,639,,332,332,,6716,0,0
163,2015,0,0,,,202,,3138,137591.45,43.400002,8.8000002,43.847,20,,3598,,,25.179001,2401,,,,,,,,654,,341,341,,6756,0,0
163,2016,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0
164,2001,0,0,,,,,13849,487075.59,,,35.170452,409,,3974,62431.93,,15.710098,3974,,,,,,,,,,,,,18232,1,1
164,2002,0,0,,,540,,14185,512416.47,,,36.123825,413,,4164,70703.828,,16.979786,3459,,,,,,,,165,,0,,,18762,1,1
164,2003,0,0,,,536,,14065,530215.94,,,37.697544,396,,4388,79442.352,,18.104456,3674,,,,,,,,178,,0,,,18849,1,1
164,2004,0,0,,,543,,14330,552738.44,,,38.572117,398,,4619,89675.102,,19.414398,3888,,,,,,,,188,,0,,,19347,1,1
164,2005,0,0,,,545,,14378,565062.94,,,39.300526,373,0,4889,98494.43,,20.14613,4137,,,,,,,,207,,0,,,19640,1,1
164,2006,0,0,,,534,,14300,574294.06,,,40.160423,330,207,5119,108735.74,,21.241598,4365,,,,,,,,220,,0,,,19749,1,1
164,2007,0,0,,,553,,14295,579074.5,,,40.508884,1643,316,5355,117885.91,,22.014175,4566,,,,,,,,236,,0,,,21293,1,1
164,2008,0,0,,,544,,14705,610876.94,,,41.542126,1241,366,5585,130453.02,,23.357746,4791,,,,,,,,250,,0,,,21531,1,1
164,2009,0,0,,,536,,14616,628481.38,,,42.999546,1342,418,5931,165529.14,,27.909145,5133,145132.56,,,,,,,262,,0,,,21889,1,1
164,2010,0,0,,,546,,14169,629248.56,,,44.410233,1384,472,7044,166271.11,,23.604643,6218,156867.41,,,,,,,280,,0,,,21771,1,1
164,2011,0,0,,,553,,14256,642073.19,,,45.038803,1427,531,7424,183800.13,,24.757561,6568,,,,,,,,303,,0,,,22251,1,1
164,2012,0,0,,,,,14107,642638.94,,,45.554615,1542,629,6888,199503.34,,28.9639,6888,,,,,,,,,,0,,,22537,1,1
164,2013,0,0,,,,,14011,655612.81,,,46.792721,1576,670,7263,219229.03,,30.184364,7263,,,,,,,,,,0,,,22850,1,1
164,2014,0,0,,,,,13862,659360.13,,,47.566017,1677,705,7626,235204.61,,30.842461,7626,,,,,,,,,,0,,,23165,1,1
164,2015,0,0,,,,,13669,670892.88,,,49.081345,1810,644,8021,254875.8,,31.776062,8021,,,,,,,,,,0,,,23500,1,1
164,2016,0,0,,,,,14171,682425.69,,,48.156494,1858,691,8189,270800.63,,33.068829,8189,,,,,,,,,,0,,,24218,1,1
165,2001,0,0,,,,,12744,439636.06,43.299999,11.7,34.497002,,,11450,133170.84,,11.630641,11450,,,,,,,,,,0,,,24194,0,1
