,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0725,0.06,0.055,0.0525,0.0525,0.0525,0.05,0.05,0.0475,0.0475,0.0475,0.0475,0.0475,0.045,0.045,0.045,0.04,0.0375
