,1,1,1,1,1
4,0.18,0.16,0.14,0.14,0.088
5,0.18,0.16,0.14,0.14,0.088
5,0.14,0.12,0.12,0.11,0.055
5,0.14,0.12,0.12,0.11,0.047
5,0.1,0.1,.08,.07,0.039
5,0.1,0.1,.08,.07,0.037
5,0.1,0.1,.08,.07,0.034
5,0.1,0.1,.08,.07,0.001
1,0.1,0.1,.08,.07,0.002
