,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.07,0.07,0.0675,0.0675,0.0675,0.055,0.055,0.0525,0.0525,0.0525,0.0525,0.0525,0.05,0.05,0.05,0.0475,0.0475,0.045,0.045,0.045,0.04
