,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.08024,0.06572,0.0567,0.04896,0.04218,0.03642,0.03146,0.0273,0.02368,0.02104,0.01872,0.01664,0.01488,0.01328,0.01192,0.01072,0.00968,0.0088,0.008,0.00676,0.00612,0.00564,0.00516,0.00476
