,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0,0,0,0,0,0,0,0,0,0,0.5,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.6,0.6,0.6,1
1,0.6,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.55,0.35,0.35,0.35,0.35,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.55,0.55,0.55,1
