,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0772,0.0662,0.0553,0.0441,0.0331,0.0316,0.0309,0.0301,0.0294,0.0289,0.0277,0.027,0.0263,0.0258,0.0252,0.0246,0.0241,0.0238,0.0237,0.0235,0.0234,0.0233
