,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0,0,0,0,0,0,0,0,0,0,0.35,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,1,1,1,1,1,1
1,0.4,0.4,0.4,0.4,0.4,0.315,0.315,0.315,0.315,0.315,0.5,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,1,1,1,1,1,1
