,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.18,0.14,0.12,0.107,0.0954,0.085,0.0758,0.0675,0.0602,0.0537,0.0478,0.0426,0.038,0.0339,0.0302,0.0269,0.024,0.0214,0.0191,0.017,0.0151,0.0135,0.012
