,4,3,22,22
29,0,0,0,0
1,0,0,0,0.4
1,0,0,0,0.38
1,0,0,0,0.38
1,0,0,0,0.38
1,0,0,0,0.38
1,0,0,0,0.34
1,0,0,0.07,0.32
1,0,0,0.05,0.26
1,0,0,0.045,0.26
1,0,0,0.055,0.26
1,0,0,0.06,0.26
1,0,0,0.11,0.11
1,0,0,0.11,0.11
1,0,0.13,0.13,0.13
1,0,0.13,0.13,0.13
1,0,0.13,0.13,0.13
1,0,0.17,0.17,0.17
1,0,0.15,0.15,0.15
1,0,0.15,0.15,0.15
1,0,0.15,0.15,0.15
1,0,0.15,0.15,0.15
10,0,0.3,0.3,0.3
10,0,1,1,1
