,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.09,0.06,0.05,0.0475,0.045,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
