,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.08,0.07,0.06,0.0525,0.05,0.0475,0.045,0.045,0.045,0.0425,0.0425,0.0425,0.0425,0.0425,0.04
