,9,1,4,5,5,5,5,5
30,0,0,0,0,0,0,0,0
5,0,0,0,0,0.034,0.09,0.3,0.3
5,0,0,0,0,0.053,0.098,0.435,0.28
5,0,0.144,0.144,0.144,0.144,0.48,0.435,0.28
5,0,0.47,0.47,0.47,0.47,0.47,0.47,0.47
5,0,0.27,0.27,0.27,0.27,0.27,0.27,0.27
5,0,1,1,1,1,1,1,1
