,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
1,0.071,0.07,0.069,0.068,0.067,0.066,0.065,0.063,0.061,0.059,0.057,0.052,0.047,0.0435,0.042,0.041,0.04
