,1,1,1,1,1
5,0.085,0.065,0.05,0.04,0.04
5,0.085,0.065,0.05,0.04,0.035
5,0.085,0.065,0.05,0.04,0.03
5,0.085,0.065,0.05,0.04,0.025
5,0.085,0.065,0.05,0.04,0.0225
5,0.085,0.065,0.05,0.04,0.02
5,0.085,0.065,0.05,0.04,0.0175
5,0.085,0.065,0.05,0.04,0.0175
5,0.085,0.065,0.05,0.04,0.0175
