,11,13,1
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.25
1,0,0,0.2
1,0,0,0.25
1,0,0,0.35
1,0,0,0.35
1,0,0,0.35
1,0,0.3,0.35
1,0,0.3,0.35
1,0,0.3,0.35
1,0,0.3,0.35
1,0,0.3,0.35
1,0,0.45,0.5
1,0,0.4,0.5
1,0,0.4,0.5
1,0,0.4,0.5
1,0,0.4,0.5
1,0,0.35,0.5
1,0,0.35,0.5
1,0,0.35,0.5
1,0,0.35,0.5
1,0,0.35,0.5
1,0,0.5,0.5
1,0,0.5,0.5
1,0,0.5,0.5
1,0,0.5,0.5
1,0,0.5,0.5
