,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.12,0.09,0.08,0.075,0.0725,0.07,0.0685,0.067,0.0655,0.064,0.0625,0.06,0.0575,0.055,0.0525,0.05,0.0475,0.045,0.0425,0.04,0.039,0.038,0.037,0.036,0.035
