,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.20716,0.18012,0.14936,0.12774,0.107,0.09058,0.07904,0.07088,0.05768,0.05632,0.03978,0.03968,0.0395,0.03924,0.0389,0.03848,0.03798,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724
1,0.20716,0.18012,0.14936,0.12774,0.107,0.09058,0.07904,0.07088,0.05768,0.05632,0.03968,0.0395,0.03924,0.0389,0.03848,0.03798,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0
1,0.20716,0.18012,0.14936,0.12774,0.107,0.09058,0.07904,0.07088,0.05768,0.05632,0.0395,0.03924,0.0389,0.03848,0.03798,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0,0
1,0.20716,0.18012,0.14936,0.12774,0.107,0.09058,0.07904,0.07088,0.05768,0.05632,0.03924,0.0389,0.03848,0.03798,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0,0,0
1,0.20716,0.18012,0.14936,0.12774,0.107,0.09058,0.07904,0.07088,0.05768,0.05632,0.0389,0.03848,0.03798,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0,0,0,0
1,0.20716,0.18012,0.14936,0.12774,0.107,0.09058,0.07904,0.07088,0.05768,0.05632,0.03848,0.03798,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0,0,0,0,0
1,0.20716,0.18012,0.14936,0.12774,0.0996,0.09058,0.07904,0.07088,0.05768,0.05632,0.03798,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0,0,0,0,0,0
1,0.20716,0.18012,0.14936,0.1221,0.0996,0.09058,0.07904,0.07088,0.05768,0.05632,0.03738,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0,0,0,0,0,0,0
1,0.20716,0.18012,0.146,0.1221,0.0996,0.09058,0.07904,0.07088,0.05768,0.05632,0.03668,0.03588,0.03498,0.03396,0.03294,0.0319,0.03078,0.02966,0.02854,0.02732,0.02608,0.02478,0.02336,0.02194,0.02042,0.0188,0.01708,0.01516,0.01302,0.0105,0.00724,0,0,0,0,0,0,0,0
