,5,5,5,5,5,5,
5,243,0,0,0,0,0, 
5,1063,240,0,0,0,0, 
5,1377,767,68,0,0,0, 
5,1292,1085,222,14,0,0, 
5,1257,1253,461,133,15,0, 
5,1155,1339,571,285,89,8, 
5,1085,1466,737,432,239,85, 
5,874,1252,784,390,204,68, 
5,477,813,482,289,119,41, 
5,172,312,250,147,58,16, 
