,1
1,0.000186
1,0.000196
1,0.000196
1,0.000206
1,0.000216
1,0.000226
1,0.000238
1,0.000248
1,0.00026
1,0.000272
1,0.000302
1,0.000322
1,0.000354
1,0.000394
1,0.000436
1,0.000488
1,0.00055
1,0.000622
1,0.000714
1,0.000816
1,0.000948
1,0.001092
1,0.001274
1,0.001496
1,0.00175
1,0.002054
1,0.002418
1,0.00286
1,0.003374
1,0.003998
1,0.00473
1,0.004842
1,0.004876
1,0.004836
1,0.004684
1,0.004526
1,0.004438
1,0.004442
1,0.004552
1,0.00472
1,0.004908
1,0.005078
1,0.005234
1,0.00551
1,0.005882
1,0.006362
1,0.006956
1,0.00769
1,0.008532
1,0.009506
1,0.010554
1,0.011742
1,0.013106
1,0.014628
1,0.016334
1,0.018186
1,0.020214
1,0.022484
1,0.024992
1,0.027806
1,0.031014
1,0.034754
1,0.039094
1,0.044012
1,0.049572
1,0.055882
1,0.063024
1,0.071448
1,0.080974
1,0.091648
1,0.105044
1,0.119828
1,0.13591
1,0.153322
1,0.17226
1,0.1928
1,0.21467
1,0.237388
1,0.255254
1,0.277888
1,0.305208
1,0.340736
1,0.377688
1,0.4351
1,0.500006
1,0.565798
1,0.62757
1,0.696096
1,0.772118
1,0.856448
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
