,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.011975,0.013875,0.017675,0.0215,0.0253,0.0291,0.03235,0.034975,0.0376,0.040275,0.0429,0.044275,0.044325,0.044375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01125,0.01305,0.01655,0.020075,0.0235,0.027025,0.030025,0.0324,0.034825,0.03725,0.039675,0.040925,0.041,0.04105,0.0411,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.02277625,0.0263625,0.03344,0.04054125,0.04761875,0.05472,0.06068125,0.06555,0.07041875,0.075335,0.08020375,0.08272125,0.08284,0.08295875,0.0830775,0.0831725,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.0483075,0.05569375,0.07041875,0.08519125,0.0998925,0.11468875,0.1270625,0.1370375,0.1470125,0.1569875,0.1669625,0.1720925,0.17240125,0.17271,0.17301875,0.1733275,0.17349375,0,0,0,0,0,0,0,0,0,0,0
1,0,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.06481375,0.0747175,0.09445375,0.11419,0.13397375,0.15371,0.17021625,0.18361125,0.19695875,0.2102825,0.22363,0.23049375,0.23092125,0.23134875,0.23177625,0.23220375,0.2324175,0.2324175,0,0,0,0,0,0,0,0,0,0
1,0,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.08466875,0.09749375,0.12319125,0.14893625,0.17461,0.2003075,0.22175375,0.23909125,0.256405,0.27371875,0.2910325,0.29993875,0.3005325,0.3011025,0.3016725,0.3022425,0.3025275,0.3025275,0.3025275,0,0,0,0,0,0,0,0,0
1,0,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.06395875,0.073435,0.09253,0.1115775,0.13060125,0.14969625,0.16549,0.17814875,0.19078375,0.20341875,0.2159825,0.22256125,0.22308375,0.22360625,0.224105,0.2246275,0.22488875,0.22488875,0.22488875,0.22488875,0,0,0,0,0,0,0,0
1,0,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.07585,0.087125,0.109625,0.132175,0.15475,0.1773,0.195975,0.2109,0.225775,0.240625,0.25555,0.263325,0.26395,0.2646,0.265225,0.26585,0.26615,0.26615,0.26615,0.26615,0.26615,0,0,0,0,0,0,0
1,0,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.06685,0.076775,0.096725,0.1166,0.13645,0.1564,0.172925,0.186025,0.1992,0.2123,0.2255,0.232275,0.232825,0.233375,0.233925,0.234475,0.23475,0.23475,0.23475,0.23475,0.23475,0.23475,0,0,0,0,0,0
1,0,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.122925,0.13,0.144075,0.1582,0.172275,0.1864,0.201275,0.217025,0.232825,0.248575,0.264325,0.27245,0.27295,0.273475,0.273975,0.274475,0.274725,0.274725,0.274725,0.274725,0.274725,0.274725,0.274725,0,0,0,0,0
1,0,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.133075,0.141,0.1568,0.1726,0.188475,0.204275,0.2204,0.2369,0.253325,0.269775,0.286275,0.29485,0.29565,0.296425,0.297225,0.298025,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0,0,0,0
1,0,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.141025,0.15685,0.17265,0.188525,0.204325,0.22045,0.23695,0.2534,0.269825,0.286325,0.2949,0.2957,0.2965,0.297275,0.298075,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0,0,0
1,0,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.141025,0.15685,0.17265,0.188525,0.204325,0.22045,0.23695,0.2534,0.269825,0.286325,0.2949,0.2957,0.2965,0.297275,0.298075,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0,0
1,0,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.1331,0.141025,0.15685,0.17265,0.188525,0.204325,0.22045,0.23695,0.2534,0.269825,0.286325,0.2949,0.2957,0.2965,0.297275,0.298075,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0.298475,0
