,5,5,5,5,5,5
30,,,,,,
1,0,0,0,0.45,0.55,0.55
1,0,0,0,0.3,0.3,0.3
1,0,0,0,0.3,0.3,0.3
1,0,0,0,0.3,0.3,0.3
1,0,0,0,0.3,0.3,0.3
1,0,0.12,0.12,0.45,0.35,0.35
1,0,0.1,0.1,0.45,0.35,0.35
1,0,0.1,0.1,0.45,0.45,0.45
1,0,0.1,0.1,0.45,0.35,0.35
5,0,0.13,0.13,0.45,0.35,0.35
5,0.06,0.16,0.16,0.55,0.35,0.35
5,0.15,0.35,0.35,0.5,0.6,0.6
5,0.5,0.5,0.5,0.5,0.5,0.5
5,1,1,1,1,1,1
