,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0525,0.045,0.0375,0.03,0.025,0.02,0.0175,0.015,0.013,0.0115,0.01,0.0085,0.007,0.006,0.005,0.004,0.0035,0.003,0.0025,0.0025
