,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.025,0.02,0.015,0.012,0.0113,0.0107,0.01,0.0092,0.0084,0.0076,0.0068,0.006,0.0054,0.0048,0.0042,0.0036,0.003,0.0024,0.0018,0
