,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.2,0.16,0.14,0.12,0.09,0.09,0.09,0.08,0.08,0.08,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02
