,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.28,0.28,0.22,0.2,0.17,0.33,0.33,0.25,0.17,0.17,0.3,0.3,0.5,0.5,0.75,0.75,0.75,1
