,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.115,0.1025,0.095,0.09,0.0875,0.085,0.0825,0.08,0.0775,0.055,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
