,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.09469,0.077035,0.06703,0.05837,0.050845,0.04441,0.038965,0.03441,0.0307,0.02768,0.02526,0.023385,0.0219,0.020725,0.01984,0.01901,0.01828,0.017405,0.01643,0.01521,0.013655,0.0116,0.009055,0.005865
