,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.148,0.122,0.091,0.086,0.077,0.066,0.06,0.054,0.05,0.046,0.042,0.038,0.034,0.031,0.027,0.028,0.024,0.02,0.019,0.018,0.017,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
