,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.1784,0.1652,0.14035,0.11685,0.11395,0.09625,0.0866,0.0757,0.0686,0.06205,0.05995,0.0533,0.04675,0.04375,0.04075,0.03775,0.03475,0.0322,0.0302,0.02875,0.02675,0.02475,0.02275,0.0223,0.02185,0.0214,0.02095,0.0205,0.0205,0.0205,0.0205
