,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.105268553,0.017956974,0.017956974,0.017956974,0.012043026,0.01,0.01,0.01,0.01,0.01,0.007956974,0.007956974,0.007956974,0.007956974,0.007956974,0.005,0.005,0.003774184,0.003365579,0.003161276,0,0,0
